,row,Txn Date,Description,Transfer To/From,Ref No./Cheque No.,Debit,Credit,Balance,Class,User
0,1,25/12/2022,Home,True,1216711285639,4305.53,0.0,366736.4,Important,soumi
1,2,25/12/2022,Movies,False,1628188928766,0.0,4931.1,371667.5,Non-important,soumi
2,3,25/12/2022,Tools,False,1845200544154,0.0,1068.89,372736.39,Essential,soumi
3,4,25/12/2022,Computers,True,1158881602293,3224.64,0.0,369511.75,Non-important,soumi
4,5,25/12/2022,Baby,True,1155313314792,3929.41,0.0,365582.34,Non-Essential,soumi
5,6,25/12/2022,Outdoors,True,1964064057056,4919.93,0.0,360662.41,Important,soumi
6,7,25/12/2022,Shoes,True,1410165680332,2472.18,0.0,358190.23,Essential,soumi
7,8,25/12/2022,Shoes,True,1787909248407,4627.36,0.0,353562.87,Non-Essential,soumi
8,9,26/12/2022,Movies,True,1111178882578,4093.32,0.0,349469.55,Non-Essential,soumi
9,10,26/12/2022,Jewelry,True,1901839865372,4615.39,0.0,344854.16,Important,soumi
10,11,26/12/2022,Baby,False,1149849741213,0.0,4208.6,349062.76,Non-important,soumi
11,12,26/12/2022,Games,False,1061688235863,0.0,4710.66,353773.42,Important,soumi
12,13,26/12/2022,Electronics,False,1515784777170,0.0,3961.57,357734.99,Non-important,soumi
13,14,26/12/2022,Jewelry,True,1946307926887,4759.78,0.0,352975.21,Non-Essential,soumi
14,15,26/12/2022,Home,False,1910853350499,0.0,4451.46,357426.67,Non-Essential,soumi
15,16,26/12/2022,Music,False,1761503465919,0.0,2606.75,360033.42,Important,soumi
16,17,26/12/2022,Computers,True,1427324837447,2328.02,0.0,357705.4,Non-Essential,soumi
17,18,27/12/2022,Toys,True,1886038371412,2444.28,0.0,355261.12,Essential,soumi
18,19,27/12/2022,Shoes,True,1271566407268,1713.71,0.0,353547.41,Non-important,soumi
19,20,27/12/2022,Books,True,1530899363843,1166.56,0.0,352380.85,Important,soumi
20,21,27/12/2022,Home,False,1945203778016,0.0,2347.74,354728.59,Non-important,soumi
21,22,27/12/2022,Books,True,1509229677958,1377.66,0.0,353350.93,Important,soumi
22,23,27/12/2022,Automotive,False,1822776952425,0.0,1032.86,354383.79,Important,soumi
23,24,27/12/2022,Music,False,1333215835490,0.0,1741.08,356124.87,Non-important,soumi
24,25,27/12/2022,Sports,False,1600412225837,0.0,332.84,356457.71,Non-Essential,soumi
25,26,27/12/2022,Games,False,1393813692289,0.0,3913.05,360370.76,Non-Essential,soumi
26,27,27/12/2022,Movies,False,1901544986917,0.0,1644.06,362014.82,Important,soumi
27,28,27/12/2022,Garden,False,1083092453533,0.0,3136.6,365151.42,Non-Essential,soumi
28,29,27/12/2022,Beauty,True,1582489008714,2772.05,0.0,362379.37,Essential,soumi
29,30,27/12/2022,Jewelry,True,1832928677427,3216.62,0.0,359162.75,Non-Essential,soumi
30,31,28/12/2022,Grocery,False,1478722462634,0.0,747.41,359910.16,Non-Essential,soumi
31,32,28/12/2022,Beauty,False,1391887194180,0.0,2466.87,362377.03,Non-important,soumi
32,33,28/12/2022,Automotive,False,1358791895777,0.0,1215.04,363592.07,Important,soumi
33,34,28/12/2022,Music,False,1600186255376,0.0,3660.92,367252.99,Non-important,soumi
34,35,28/12/2022,Baby,False,1078274897799,0.0,4936.88,372189.87,Important,soumi
35,36,28/12/2022,Home,True,1214682968682,2340.85,0.0,369849.02,Non-important,soumi
36,37,28/12/2022,Clothing,True,1891792734290,3290.69,0.0,366558.33,Non-important,soumi
37,38,28/12/2022,Beauty,True,1886603388091,1198.19,0.0,365360.14,Non-important,soumi
38,39,28/12/2022,Movies,True,1257463513404,4138.86,0.0,361221.28,Essential,soumi
39,40,28/12/2022,Music,True,1134116591041,336.56,0.0,360884.72,Non-Essential,soumi
40,41,28/12/2022,Garden,True,1695327523713,3854.66,0.0,357030.06,Non-Essential,soumi
41,42,28/12/2022,Computers,True,1440121417025,2815.28,0.0,354214.78,Non-important,soumi
42,43,29/12/2022,Sports,True,1633489556058,3771.93,0.0,350442.85,Important,soumi
43,44,29/12/2022,Baby,True,1018121992677,3848.96,0.0,346593.89,Non-Essential,soumi
44,45,29/12/2022,Outdoors,True,1612232915050,2033.23,0.0,344560.66,Essential,soumi
45,46,29/12/2022,Computers,True,1138054035843,3208.47,0.0,341352.19,Important,soumi
46,47,29/12/2022,Industrial,True,1471112235020,2394.72,0.0,338957.47,Important,soumi
47,48,29/12/2022,Grocery,True,1659662908707,2409.25,0.0,336548.22,Important,soumi
48,49,29/12/2022,Automotive,True,1808385672309,3730.59,0.0,332817.63,Non-Essential,soumi
49,50,29/12/2022,Kids,True,1759160954543,676.03,0.0,332141.6,Important,soumi
