,row,Txn Date,Description,Transfer To/From,Ref No./Cheque No.,Debit,Credit,Balance,Class,User
0,1,23/12/2022,Baby,True,4670421416617,1124.39,0.0,243044.54,Non-Essential,dakshita
1,2,23/12/2022,Home,True,4142389275287,406.29,0.0,242638.25,Essential,dakshita
2,3,23/12/2022,Home,False,4873015274314,0.0,1041.08,243679.33,Important,dakshita
3,4,23/12/2022,Games,True,4694949599252,2577.05,0.0,241102.28,Non-important,dakshita
4,5,23/12/2022,Health,False,4678644250023,0.0,1628.76,242731.04,Non-important,dakshita
5,6,23/12/2022,Industrial,False,4365009395388,0.0,123.18,242854.22,Essential,dakshita
6,7,23/12/2022,Toys,False,4363456679962,0.0,1438.55,244292.77,Non-important,dakshita
7,8,23/12/2022,Jewelry,True,4637765546020,2814.58,0.0,241478.19,Important,dakshita
8,9,23/12/2022,Tools,True,4109830301820,1181.78,0.0,240296.41,Essential,dakshita
9,10,23/12/2022,Jewelry,True,4809505440023,576.95,0.0,239719.46,Important,dakshita
10,11,23/12/2022,Electronics,False,4293792381835,0.0,788.69,240508.15,Essential,dakshita
11,12,24/12/2022,Games,False,4937437324221,0.0,1420.94,241929.09,Essential,dakshita
12,13,24/12/2022,Garden,False,4457891946069,0.0,2947.88,244876.97,Essential,dakshita
13,14,24/12/2022,Movies,True,4769565638067,32.31,0.0,244844.66,Non-Essential,dakshita
14,15,24/12/2022,Home,True,4355063513530,1776.27,0.0,243068.39,Non-Essential,dakshita
15,16,24/12/2022,Baby,True,4611599897576,1179.91,0.0,241888.48,Non-important,dakshita
16,17,24/12/2022,Games,False,4228003507515,0.0,157.45,242045.93,Non-important,dakshita
17,18,24/12/2022,Kids,False,4212136528515,0.0,1706.31,243752.24,Non-important,dakshita
18,19,24/12/2022,Health,True,4894964738255,1303.02,0.0,242449.22,Important,dakshita
19,20,24/12/2022,Outdoors,True,4256242123894,1363.11,0.0,241086.11,Important,dakshita
20,21,24/12/2022,Health,True,4382269416675,1747.7,0.0,239338.41,Non-important,dakshita
21,22,24/12/2022,Garden,False,4712422304028,0.0,2612.35,241950.76,Essential,dakshita
22,23,24/12/2022,Toys,False,4786925864907,0.0,80.62,242031.38,Essential,dakshita
23,24,24/12/2022,Electronics,False,4902075093563,0.0,993.96,243025.34,Important,dakshita
24,25,24/12/2022,Automotive,True,4249172458985,705.66,0.0,242319.68,Non-important,dakshita
25,26,25/12/2022,Kids,False,4713955915740,0.0,1821.73,244141.41,Essential,dakshita
26,27,25/12/2022,Books,True,4193249354900,387.6,0.0,243753.81,Non-Essential,dakshita
27,28,25/12/2022,Kids,True,4664964198832,1728.91,0.0,242024.9,Non-Essential,dakshita
28,29,25/12/2022,Garden,True,4022660721360,64.96,0.0,241959.94,Essential,dakshita
29,30,25/12/2022,Sports,True,4775617260095,700.39,0.0,241259.55,Non-important,dakshita
30,31,25/12/2022,Books,False,4292020508739,0.0,1498.63,242758.18,Essential,dakshita
31,32,25/12/2022,Shoes,False,4916462860307,0.0,2451.64,245209.82,Important,dakshita
32,33,25/12/2022,Industrial,True,4858779723602,2856.88,0.0,242352.94,Non-important,dakshita
33,34,25/12/2022,Books,True,4984604102702,1824.51,0.0,240528.43,Essential,dakshita
34,35,25/12/2022,Music,True,4732215358475,183.42,0.0,240345.01,Essential,dakshita
35,36,26/12/2022,Grocery,True,4141772694815,2405.64,0.0,237939.37,Essential,dakshita
36,37,26/12/2022,Automotive,False,4602710866398,0.0,1539.38,239478.75,Essential,dakshita
37,38,26/12/2022,Home,True,4656195281424,2483.3,0.0,236995.45,Essential,dakshita
38,39,26/12/2022,Garden,True,4351360247159,2682.03,0.0,234313.42,Essential,dakshita
39,40,26/12/2022,Home,False,4364105001574,0.0,2827.52,237140.94,Non-important,dakshita
40,41,26/12/2022,Toys,True,4837668001879,479.56,0.0,236661.38,Non-important,dakshita
41,42,26/12/2022,Movies,False,4636508643895,0.0,149.28,236810.66,Non-Essential,dakshita
42,43,26/12/2022,Games,False,4951662833181,0.0,995.47,237806.13,Non-Essential,dakshita
43,44,26/12/2022,Jewelry,True,4514323925049,2350.82,0.0,235455.31,Non-important,dakshita
44,45,26/12/2022,Baby,False,4352322088534,0.0,1472.03,236927.34,Important,dakshita
45,46,26/12/2022,Outdoors,False,4723386145003,0.0,1606.81,238534.15,Important,dakshita
46,47,26/12/2022,Grocery,False,4521767140935,0.0,663.16,239197.31,Non-important,dakshita
47,48,26/12/2022,Movies,False,4662109829822,0.0,1074.91,240272.22,Non-Essential,dakshita
48,49,27/12/2022,Music,True,4665368443166,2972.43,0.0,237299.79,Important,dakshita
49,50,27/12/2022,Kids,True,4300704088375,140.86,0.0,237158.93,Essential,dakshita
50,51,27/12/2022,Tools,False,4755802916627,0.0,1518.08,238677.01,Non-important,dakshita
51,52,27/12/2022,Books,True,4340384857806,1443.43,0.0,237233.58,Important,dakshita
52,53,28/12/2022,Kids,False,4428611940966,0.0,28.36,237261.94,Non-important,dakshita
53,54,28/12/2022,Music,False,4187047664006,0.0,712.22,237974.16,Non-important,dakshita
54,55,28/12/2022,Garden,True,4829118652967,568.75,0.0,237405.41,Non-important,dakshita
55,56,28/12/2022,Baby,True,4954847872650,1698.39,0.0,235707.02,Non-Essential,dakshita
56,57,28/12/2022,Games,True,4377153859309,70.99,0.0,235636.03,Non-important,dakshita
57,58,28/12/2022,Shoes,False,4862937354142,0.0,1089.82,236725.85,Non-Essential,dakshita
58,59,28/12/2022,Grocery,False,4761239665266,0.0,2574.75,239300.6,Non-Essential,dakshita
59,60,28/12/2022,Garden,False,4267412922234,0.0,112.79,239413.39,Essential,dakshita
60,61,28/12/2022,Clothing,True,4969553908083,2889.16,0.0,236524.23,Essential,dakshita
61,62,29/12/2022,Toys,True,4976447575723,2663.23,0.0,233861.0,Non-Essential,dakshita
62,63,29/12/2022,Music,False,4778606874487,0.0,1233.42,235094.42,Essential,dakshita
63,64,29/12/2022,Beauty,False,4252974545232,0.0,1091.65,236186.07,Important,dakshita
64,65,29/12/2022,Computers,True,4895236008283,844.93,0.0,235341.14,Non-important,dakshita
65,66,29/12/2022,Toys,False,4138080853552,0.0,2289.32,237630.46,Non-important,dakshita
66,67,29/12/2022,Toys,False,4307960459712,0.0,1662.13,239292.59,Non-Essential,dakshita
67,68,29/12/2022,Sports,False,4659458697865,0.0,1622.84,240915.43,Essential,dakshita
68,69,30/12/2022,Music,False,4839190753491,0.0,943.35,241858.78,Important,dakshita
69,70,30/12/2022,Garden,True,4028846444788,2602.06,0.0,239256.72,Important,dakshita
70,71,30/12/2022,Electronics,False,4378087798569,0.0,2028.92,241285.64,Essential,dakshita
71,72,31/12/2022,Health,True,4566296490429,2689.14,0.0,238596.5,Essential,dakshita
72,73,31/12/2022,Industrial,False,4457498587774,0.0,591.56,239188.06,Non-important,dakshita
73,74,31/12/2022,Garden,True,4815199148265,2303.79,0.0,236884.27,Non-Essential,dakshita
74,75,31/12/2022,Health,True,4063420200877,626.98,0.0,236257.29,Non-important,dakshita
75,76,31/12/2022,Home,True,4367333803036,2183.16,0.0,234074.13,Non-Essential,dakshita
76,77,31/12/2022,Automotive,True,4676944825654,2428.24,0.0,231645.89,Non-important,dakshita
77,78,31/12/2022,Baby,True,4805270600031,245.5,0.0,231400.39,Important,dakshita
78,79,31/12/2022,Sports,False,4217913045440,0.0,2483.47,233883.86,Non-Essential,dakshita
79,80,31/12/2022,Kids,True,4272875290929,1399.46,0.0,232484.4,Essential,dakshita
80,81,31/12/2022,Computers,False,4801233701579,0.0,1842.9,234327.3,Non-important,dakshita
81,82,31/12/2022,Music,True,4252058197827,1069.88,0.0,233257.42,Non-Essential,dakshita
