,row,Txn Date,Description,Transfer To/From,Ref No./Cheque No.,Debit,Credit,Balance,Class,User
0,1,23/12/2022,Toys,False,2235056301457,0.0,1453.89,540283.71,Important,pranjal
1,2,23/12/2022,Clothing,False,2153874362292,0.0,1995.38,542279.09,Essential,pranjal
2,3,23/12/2022,Industrial,True,2156143492489,2899.33,0.0,539379.76,Important,pranjal
3,4,23/12/2022,Games,False,2003697616024,0.0,1532.03,540911.79,Non-Essential,pranjal
4,5,23/12/2022,Clothing,True,2086344215661,2355.73,0.0,538556.06,Non-Essential,pranjal
5,6,23/12/2022,Music,True,2490790716171,1973.11,0.0,536582.95,Essential,pranjal
6,7,23/12/2022,Outdoors,True,2149767778002,2604.32,0.0,533978.63,Important,pranjal
7,8,23/12/2022,Grocery,True,2016170275768,2910.13,0.0,531068.5,Essential,pranjal
8,9,23/12/2022,Grocery,False,2096494119394,0.0,1794.64,532863.14,Non-Essential,pranjal
9,10,23/12/2022,Health,False,2717243753532,0.0,2805.57,535668.71,Important,pranjal
10,11,23/12/2022,Home,True,2694610074296,1295.42,0.0,534373.29,Essential,pranjal
11,12,23/12/2022,Toys,True,2917605618306,1727.37,0.0,532645.92,Non-Essential,pranjal
12,13,23/12/2022,Computers,False,2279594515245,0.0,2885.79,535531.71,Essential,pranjal
13,14,23/12/2022,Beauty,False,2742918496447,0.0,2915.08,538446.79,Non-Essential,pranjal
14,15,24/12/2022,Clothing,False,2153385917337,0.0,1948.11,540394.9,Non-Essential,pranjal
15,16,24/12/2022,Grocery,True,2648207424484,1613.02,0.0,538781.88,Essential,pranjal
16,17,24/12/2022,Books,True,2558846261879,2146.17,0.0,536635.71,Essential,pranjal
17,18,24/12/2022,Baby,False,2222389139458,0.0,1622.53,538258.24,Essential,pranjal
18,19,24/12/2022,Toys,False,2386456912918,0.0,748.71,539006.95,Non-Essential,pranjal
19,20,24/12/2022,Baby,True,2584315428394,1180.67,0.0,537826.28,Important,pranjal
20,21,24/12/2022,Music,False,2637505662152,0.0,1477.54,539303.82,Non-important,pranjal
21,22,24/12/2022,Grocery,True,2779153463911,1587.59,0.0,537716.23,Essential,pranjal
22,23,24/12/2022,Baby,True,2398953270555,2476.84,0.0,535239.39,Essential,pranjal
23,24,24/12/2022,Computers,False,2656977692993,0.0,2428.52,537667.91,Non-important,pranjal
24,25,25/12/2022,Beauty,True,2675891621283,2223.2,0.0,535444.71,Non-Essential,pranjal
25,26,25/12/2022,Computers,True,2347662982315,2767.17,0.0,532677.54,Essential,pranjal
26,27,25/12/2022,Clothing,False,2723733264201,0.0,487.94,533165.48,Essential,pranjal
27,28,25/12/2022,Home,False,2759497587783,0.0,382.86,533548.34,Non-Essential,pranjal
28,29,25/12/2022,Grocery,True,2796192848605,1151.53,0.0,532396.81,Non-Essential,pranjal
29,30,25/12/2022,Garden,False,2697398488022,0.0,1887.36,534284.17,Non-important,pranjal
30,31,25/12/2022,Games,False,2559095109473,0.0,2403.64,536687.81,Non-important,pranjal
31,32,25/12/2022,Shoes,True,2039437836194,125.23,0.0,536562.58,Important,pranjal
