,row,Txn Date,Description,Transfer To/From,Ref No./Cheque No.,Debit,Credit,Balance,Class,User
0,1,25/12/2022,Home,True,1216711285639,4305.53,0.0,366736.4,Important,aastha
1,2,25/12/2022,Movies,False,1628188928766,0.0,4931.1,371667.5,Non-important,aastha
2,3,25/12/2022,Tools,False,1845200544154,0.0,1068.89,372736.39,Essential,aastha
3,4,25/12/2022,Computers,True,1158881602293,3224.64,0.0,369511.75,Non-important,aastha
4,5,25/12/2022,Baby,True,1155313314792,3929.41,0.0,365582.34,Non-Essential,aastha
5,6,25/12/2022,Outdoors,True,1964064057056,4919.93,0.0,360662.41,Important,aastha
6,7,25/12/2022,Shoes,True,1410165680332,2472.18,0.0,358190.23,Essential,aastha
7,8,25/12/2022,Shoes,True,1787909248407,4627.36,0.0,353562.87,Non-Essential,aastha
8,9,26/12/2022,Movies,True,1111178882578,4093.32,0.0,349469.55,Non-Essential,aastha
9,10,26/12/2022,Jewelry,True,1901839865372,4615.39,0.0,344854.16,Important,aastha
10,11,26/12/2022,Baby,False,1149849741213,0.0,4208.6,349062.76,Non-important,aastha
11,12,26/12/2022,Games,False,1061688235863,0.0,4710.66,353773.42,Important,aastha
12,13,26/12/2022,Electronics,False,1515784777170,0.0,3961.57,357734.99,Non-important,aastha
13,14,26/12/2022,Jewelry,True,1946307926887,4759.78,0.0,352975.21,Non-Essential,aastha
14,15,26/12/2022,Home,False,1910853350499,0.0,4451.46,357426.67,Non-Essential,aastha
15,16,26/12/2022,Music,False,1761503465919,0.0,2606.75,360033.42,Important,aastha
16,17,26/12/2022,Computers,True,1427324837447,2328.02,0.0,357705.4,Non-Essential,aastha
17,18,27/12/2022,Toys,True,1886038371412,2444.28,0.0,355261.12,Essential,aastha
18,19,27/12/2022,Shoes,True,1271566407268,1713.71,0.0,353547.41,Non-important,aastha
19,20,27/12/2022,Books,True,1530899363843,1166.56,0.0,352380.85,Important,aastha
20,21,27/12/2022,Home,False,1945203778016,0.0,2347.74,354728.59,Non-important,aastha
21,22,27/12/2022,Books,True,1509229677958,1377.66,0.0,353350.93,Important,aastha
22,23,27/12/2022,Automotive,False,1822776952425,0.0,1032.86,354383.79,Important,aastha
23,24,27/12/2022,Music,False,1333215835490,0.0,1741.08,356124.87,Non-important,aastha
24,25,27/12/2022,Sports,False,1600412225837,0.0,332.84,356457.71,Non-Essential,aastha
25,26,27/12/2022,Games,False,1393813692289,0.0,3913.05,360370.76,Non-Essential,aastha
26,27,27/12/2022,Movies,False,1901544986917,0.0,1644.06,362014.82,Important,aastha
27,28,27/12/2022,Garden,False,1083092453533,0.0,3136.6,365151.42,Non-Essential,aastha
28,29,27/12/2022,Beauty,True,1582489008714,2772.05,0.0,362379.37,Essential,aastha
29,30,27/12/2022,Jewelry,True,1832928677427,3216.62,0.0,359162.75,Non-Essential,aastha
30,31,28/12/2022,Grocery,False,1478722462634,0.0,747.41,359910.16,Non-Essential,aastha
31,32,28/12/2022,Beauty,False,1391887194180,0.0,2466.87,362377.03,Non-important,aastha
32,33,28/12/2022,Automotive,False,1358791895777,0.0,1215.04,363592.07,Important,aastha
33,34,28/12/2022,Music,False,1600186255376,0.0,3660.92,367252.99,Non-important,aastha
34,35,28/12/2022,Baby,False,1078274897799,0.0,4936.88,372189.87,Important,aastha
35,36,28/12/2022,Home,True,1214682968682,2340.85,0.0,369849.02,Non-important,aastha
36,37,28/12/2022,Clothing,True,1891792734290,3290.69,0.0,366558.33,Non-important,aastha
37,38,28/12/2022,Beauty,True,1886603388091,1198.19,0.0,365360.14,Non-important,aastha
38,39,28/12/2022,Movies,True,1257463513404,4138.86,0.0,361221.28,Essential,aastha
39,40,28/12/2022,Music,True,1134116591041,336.56,0.0,360884.72,Non-Essential,aastha
40,41,28/12/2022,Garden,True,1695327523713,3854.66,0.0,357030.06,Non-Essential,aastha
41,42,28/12/2022,Computers,True,1440121417025,2815.28,0.0,354214.78,Non-important,aastha
42,43,29/12/2022,Sports,True,1633489556058,3771.93,0.0,350442.85,Important,aastha
43,44,29/12/2022,Baby,True,1018121992677,3848.96,0.0,346593.89,Non-Essential,aastha
44,45,29/12/2022,Outdoors,True,1612232915050,2033.23,0.0,344560.66,Essential,aastha
45,46,29/12/2022,Computers,True,1138054035843,3208.47,0.0,341352.19,Important,aastha
46,47,29/12/2022,Industrial,True,1471112235020,2394.72,0.0,338957.47,Important,aastha
47,48,29/12/2022,Grocery,True,1659662908707,2409.25,0.0,336548.22,Important,aastha
48,49,29/12/2022,Automotive,True,1808385672309,3730.59,0.0,332817.63,Non-Essential,aastha
49,50,29/12/2022,Kids,True,1759160954543,676.03,0.0,332141.6,Important,aastha
50,51,29/12/2022,Grocery,True,1228215694230,2335.23,0.0,329806.37,Important,aastha
51,52,29/12/2022,Grocery,True,1032373825595,3005.96,0.0,326800.41,Important,aastha
52,53,29/12/2022,Grocery,True,1227606813167,1019.34,0.0,325781.07,Important,aastha
53,54,29/12/2022,Games,False,1657204363677,0.0,848.65,326629.72,Non-important,aastha
54,55,29/12/2022,Baby,False,1673351227407,0.0,3840.11,330469.83,Essential,aastha
55,56,30/12/2022,Movies,True,1238173367124,3214.33,0.0,327255.5,Non-Essential,aastha
56,57,30/12/2022,Garden,True,1256708972104,2690.57,0.0,324564.93,Important,aastha
57,58,30/12/2022,Kids,True,1637385288453,1821.74,0.0,322743.19,Non-important,aastha
58,59,30/12/2022,Clothing,False,1271212694279,0.0,3437.77,326180.96,Non-Essential,aastha
59,60,30/12/2022,Books,True,1248519481700,2355.0,0.0,323825.96,Essential,aastha
60,61,30/12/2022,Grocery,False,1183503730736,0.0,1145.35,324971.31,Non-Essential,aastha
61,62,30/12/2022,Automotive,False,1311726825901,0.0,3555.11,328526.42,Non-important,aastha
62,63,30/12/2022,Beauty,True,1566372447836,3620.33,0.0,324906.09,Important,aastha
63,64,30/12/2022,Sports,False,1918880348648,0.0,2647.61,327553.7,Non-Essential,aastha
64,65,30/12/2022,Grocery,True,1503183792831,3574.59,0.0,323979.11,Non-important,aastha
65,66,31/12/2022,Baby,False,1866577674451,0.0,1693.23,325672.34,Essential,aastha
66,67,31/12/2022,Movies,True,1169322313677,975.11,0.0,324697.23,Non-Essential,aastha
67,68,31/12/2022,Books,False,1827104923933,0.0,4898.27,329595.5,Essential,aastha
68,69,31/12/2022,Clothing,False,1632346197886,0.0,2996.52,332592.02,Non-important,aastha
69,70,31/12/2022,Electronics,True,1261259208539,4039.86,0.0,328552.16,Essential,aastha
70,71,31/12/2022,Industrial,False,1149007243478,0.0,2599.15,331151.31,Essential,aastha
71,72,31/12/2022,Electronics,False,1447696653968,0.0,4597.82,335749.13,Non-important,aastha
72,73,31/12/2022,Electronics,False,1167397396882,0.0,4495.36,340244.49,Important,aastha
73,74,31/12/2022,Grocery,True,1718528834755,449.98,0.0,339794.51,Essential,aastha
74,75,31/12/2022,Health,True,1751025592804,4025.53,0.0,335768.98,Non-Essential,aastha
75,76,31/12/2022,Outdoors,False,1540073735547,0.0,3865.86,339634.84,Non-Essential,aastha
76,77,31/12/2022,Grocery,False,1717262253415,0.0,2299.55,341934.39,Non-Essential,aastha
77,78,31/12/2022,Shoes,False,1714145035231,0.0,1546.42,343480.81,Non-important,aastha
78,79,31/12/2022,Industrial,True,1490360538691,4298.32,0.0,339182.49,Important,aastha
79,80,31/12/2022,Electronics,True,1281807723542,4871.63,0.0,334310.86,Important,aastha
80,81,01/01/2023,Automotive,True,1194306271601,1332.71,0.0,332978.15,Non-important,aastha
81,82,01/01/2023,Electronics,False,1432859331639,0.0,773.22,333751.37,Important,aastha
82,83,01/01/2023,Music,False,1334708259188,0.0,4746.36,338497.73,Essential,aastha
83,84,01/01/2023,Jewelry,False,1656967103721,0.0,1274.81,339772.54,Non-important,aastha
84,85,01/01/2023,Grocery,False,1639851096426,0.0,211.35,339983.89,Non-important,aastha
85,86,01/01/2023,Baby,False,1231310021210,0.0,2323.77,342307.66,Important,aastha
86,87,01/01/2023,Music,True,1785500168291,4616.63,0.0,337691.03,Essential,aastha
87,88,01/01/2023,Games,False,1213005717332,0.0,4759.59,342450.62,Non-important,aastha
88,89,01/01/2023,Shoes,True,1385830127297,2166.71,0.0,340283.91,Essential,aastha
89,90,01/01/2023,Kids,False,1893065931744,0.0,4570.27,344854.18,Non-Essential,aastha
90,91,01/01/2023,Movies,False,1300086563511,0.0,4474.94,349329.12,Non-important,aastha
91,92,02/01/2023,Music,True,1288104832546,3382.48,0.0,345946.64,Important,aastha
92,93,02/01/2023,Music,False,1673433409918,0.0,2521.66,348468.3,Essential,aastha
93,94,02/01/2023,Electronics,True,1663731648489,3860.92,0.0,344607.38,Non-Essential,aastha
94,95,02/01/2023,Toys,True,1309323608707,2766.53,0.0,341840.85,Non-Essential,aastha
95,96,02/01/2023,Outdoors,True,1654982258739,1964.92,0.0,339875.93,Essential,aastha
96,97,02/01/2023,Electronics,True,1889988388729,880.57,0.0,338995.36,Essential,aastha
97,98,02/01/2023,Home,True,1439734087787,3398.96,0.0,335596.4,Non-Essential,aastha
98,99,02/01/2023,Automotive,True,1484581392252,1650.74,0.0,333945.66,Important,aastha
