,row,Txn Date,Description,Transfer To/From,Ref No./Cheque No.,Debit,Credit,Balance,Class,User
0,1,23/12/2022,Jewelry,True,3172376751536,15.03,0.0,691447.16,Essential,vedika
1,2,23/12/2022,Clothing,False,3047405612279,0.0,2173.29,693620.45,Essential,vedika
2,3,23/12/2022,Kids,True,3955134731593,2460.27,0.0,691160.18,Non-Essential,vedika
3,4,23/12/2022,Baby,True,3890881898497,891.91,0.0,690268.27,Non-important,vedika
4,5,23/12/2022,Home,True,3296868927279,1631.99,0.0,688636.28,Essential,vedika
5,6,23/12/2022,Toys,False,3056441772155,0.0,689.4,689325.68,Essential,vedika
6,7,23/12/2022,Shoes,True,3699479745208,4989.67,0.0,684336.01,Non-important,vedika
7,8,23/12/2022,Music,True,3523751436703,4198.53,0.0,680137.48,Essential,vedika
8,9,23/12/2022,Shoes,False,3746575115785,0.0,643.93,680781.41,Non-Essential,vedika
9,10,24/12/2022,Outdoors,True,3432664137502,3520.52,0.0,677260.89,Non-important,vedika
10,11,24/12/2022,Baby,True,3305347649067,3511.07,0.0,673749.82,Non-important,vedika
11,12,24/12/2022,Books,False,3202285334852,0.0,1241.94,674991.76,Important,vedika
12,13,24/12/2022,Games,False,3784996571812,0.0,488.0,675479.76,Non-Essential,vedika
13,14,24/12/2022,Beauty,True,3613455213765,1275.39,0.0,674204.37,Non-important,vedika
14,15,25/12/2022,Music,True,3703220364540,1538.4,0.0,672665.97,Essential,vedika
15,16,25/12/2022,Tools,True,3443367651780,2774.93,0.0,669891.04,Important,vedika
16,17,25/12/2022,Kids,False,3591045528851,0.0,2669.83,672560.87,Non-Essential,vedika
17,18,25/12/2022,Automotive,False,3778261626048,0.0,521.14,673082.01,Essential,vedika
18,19,25/12/2022,Tools,False,3442747352790,0.0,2641.67,675723.68,Important,vedika
19,20,25/12/2022,Health,False,3656371262961,0.0,210.67,675934.35,Essential,vedika
20,21,25/12/2022,Shoes,True,3948728892432,3203.2,0.0,672731.15,Non-Essential,vedika
21,22,25/12/2022,Computers,True,3231394930144,4658.91,0.0,668072.24,Non-important,vedika
22,23,25/12/2022,Music,False,3718594820389,0.0,2174.41,670246.65,Non-Essential,vedika
23,24,25/12/2022,Tools,False,3695980821675,0.0,1757.3,672003.95,Non-important,vedika
24,25,25/12/2022,Outdoors,True,3643505122042,2291.06,0.0,669712.89,Essential,vedika
25,26,26/12/2022,Beauty,False,3054120243934,0.0,810.5,670523.39,Non-Essential,vedika
26,27,26/12/2022,Clothing,True,3021911507517,21.66,0.0,670501.73,Essential,vedika
27,28,26/12/2022,Clothing,True,3526559521076,1747.41,0.0,668754.32,Non-important,vedika
28,29,26/12/2022,Music,False,3042229506209,0.0,1441.8,670196.12,Important,vedika
29,30,26/12/2022,Beauty,False,3145881822372,0.0,2708.31,672904.43,Non-Essential,vedika
30,31,26/12/2022,Jewelry,False,3090703241886,0.0,1598.0,674502.43,Non-important,vedika
31,32,26/12/2022,Clothing,False,3539894292892,0.0,1387.38,675889.81,Non-important,vedika
32,33,26/12/2022,Shoes,False,3040460257420,0.0,1913.7,677803.51,Essential,vedika
33,34,26/12/2022,Beauty,False,3206384519878,0.0,163.4,677966.91,Non-important,vedika
34,35,26/12/2022,Toys,True,3166603412596,2664.12,0.0,675302.79,Important,vedika
35,36,26/12/2022,Jewelry,True,3460086382586,1591.17,0.0,673711.62,Essential,vedika
36,37,26/12/2022,Movies,True,3600105840533,595.13,0.0,673116.49,Non-Essential,vedika
37,38,26/12/2022,Tools,False,3165161379646,0.0,344.77,673461.26,Essential,vedika
38,39,26/12/2022,Industrial,False,3172499171529,0.0,89.54,673550.8,Essential,vedika
39,40,26/12/2022,Garden,False,3616974696680,0.0,2193.78,675744.58,Non-important,vedika
40,41,26/12/2022,Jewelry,True,3424046824806,3675.07,0.0,672069.51,Non-Essential,vedika
41,42,27/12/2022,Books,False,3836933938749,0.0,689.5,672759.01,Important,vedika
42,43,27/12/2022,Outdoors,True,3887087039257,3822.3,0.0,668936.71,Important,vedika
43,44,27/12/2022,Kids,False,3455167212741,0.0,979.47,669916.18,Essential,vedika
44,45,27/12/2022,Computers,False,3607449326978,0.0,2049.5,671965.68,Non-Essential,vedika
45,46,27/12/2022,Baby,False,3295135229796,0.0,496.38,672462.06,Non-Essential,vedika
46,47,27/12/2022,Books,True,3029839882174,2930.53,0.0,669531.53,Important,vedika
47,48,27/12/2022,Kids,True,3080735963132,616.72,0.0,668914.81,Essential,vedika
48,49,27/12/2022,Automotive,True,3485424496036,2938.71,0.0,665976.1,Essential,vedika
49,50,27/12/2022,Games,False,3366641986085,0.0,758.37,666734.47,Essential,vedika
50,51,28/12/2022,Health,False,3351895786633,0.0,434.96,667169.43,Essential,vedika
51,52,28/12/2022,Shoes,True,3712996801805,225.4,0.0,666944.03,Non-important,vedika
52,53,28/12/2022,Tools,False,3464553491425,0.0,1828.69,668772.72,Important,vedika
53,54,28/12/2022,Books,False,3386119569582,0.0,894.08,669666.8,Non-Essential,vedika
54,55,28/12/2022,Electronics,False,3279379477642,0.0,2553.41,672220.21,Non-important,vedika
55,56,28/12/2022,Music,True,3033525883094,2811.91,0.0,669408.3,Essential,vedika
56,57,28/12/2022,Music,True,3766592880793,1225.64,0.0,668182.66,Non-important,vedika
57,58,28/12/2022,Sports,True,3271671930630,4951.88,0.0,663230.78,Non-important,vedika
58,59,28/12/2022,Movies,False,3930401454533,0.0,1158.56,664389.34,Essential,vedika
59,60,28/12/2022,Kids,False,3364021622929,0.0,714.23,665103.57,Essential,vedika
60,61,29/12/2022,Shoes,True,3245521795987,3231.97,0.0,661871.6,Important,vedika
61,62,29/12/2022,Movies,True,3929605567078,4278.14,0.0,657593.46,Important,vedika
62,63,29/12/2022,Kids,True,3403505783975,3154.42,0.0,654439.04,Non-important,vedika
63,64,29/12/2022,Automotive,False,3992847501479,0.0,479.9,654918.94,Non-important,vedika
64,65,29/12/2022,Shoes,False,3464748689235,0.0,1833.91,656752.85,Important,vedika
65,66,29/12/2022,Clothing,False,3415665250836,0.0,2508.77,659261.62,Essential,vedika
66,67,29/12/2022,Books,False,3317023515556,0.0,566.95,659828.57,Non-Essential,vedika
67,68,29/12/2022,Books,True,3419113112197,1387.54,0.0,658441.03,Important,vedika
68,69,29/12/2022,Tools,False,3076482846831,0.0,2952.08,661393.11,Essential,vedika
69,70,29/12/2022,Movies,False,3183307703765,0.0,2136.76,663529.87,Non-Essential,vedika
70,71,30/12/2022,Movies,True,3308004020520,1368.61,0.0,662161.26,Essential,vedika
71,72,30/12/2022,Movies,True,3463032196528,473.11,0.0,661688.15,Non-important,vedika
72,73,30/12/2022,Outdoors,False,3356553805024,0.0,2953.94,664642.09,Non-important,vedika
73,74,30/12/2022,Kids,True,3441042294957,3691.64,0.0,660950.45,Essential,vedika
74,75,31/12/2022,Kids,True,3279242799538,4511.9,0.0,656438.55,Non-Essential,vedika
75,76,31/12/2022,Garden,True,3713750921834,1494.48,0.0,654944.07,Non-Essential,vedika
76,77,31/12/2022,Books,False,3417406859122,0.0,1910.69,656854.76,Important,vedika
77,78,31/12/2022,Computers,True,3136524322955,4940.44,0.0,651914.32,Non-important,vedika
78,79,31/12/2022,Outdoors,False,3463158425413,0.0,2825.03,654739.35,Non-important,vedika
79,80,31/12/2022,Industrial,True,3802469166134,3124.85,0.0,651614.5,Important,vedika
80,81,31/12/2022,Outdoors,False,3205632138679,0.0,2554.47,654168.97,Important,vedika
81,82,31/12/2022,Tools,True,3962795980710,4260.57,0.0,649908.4,Essential,vedika
82,83,31/12/2022,Tools,True,3519141159623,977.91,0.0,648930.49,Non-Essential,vedika
